iteration,train_loss,test_acc,test_acc_min,test_acc_max,test_acc_std,consensus_error,comm_volume
0,0.0,59.16916916916917,37.83783783783784,79.77977977977979,13.310336319598719,0.14221683144569397,1104
1,0.0,70.24024024024023,49.849849849849846,79.07907907907908,10.2324680356598,0.07743892818689346,2208
2,0.0,76.9169169169169,59.95995995995996,80.98098098098097,5.775385424239688,0.049211010336875916,3312
3,0.0,79.77977977977977,77.87787787787788,82.58258258258259,1.2095141114709278,0.03349500522017479,4416
4,0.0,81.07107107107106,79.87987987987988,83.48348348348348,1.2490069963516617,0.022742992267012596,5520
5,0.0,81.78178178178177,80.38038038038037,84.38438438438438,1.0489038556500279,0.015842629596590996,6624
6,0.0,82.87287287287288,80.38038038038037,85.88588588588588,1.5880621400877863,0.011192543432116508,7728
7,0.0,84.03403403403404,81.48148148148148,85.78578578578579,1.385039620793423,0.008254491724073887,8832
8,0.0,84.91491491491492,82.78278278278279,86.28628628628628,1.1457417403354737,0.005910332780331373,9936
9,0.0,85.68568568568568,83.78378378378379,86.68668668668668,0.857595595219373,0.004361091647297144,11040
10,0.0,85.81581581581584,84.68468468468468,86.38638638638638,0.5278797546920982,0.003241047728806734,12144
11,0.0,85.6956956956957,82.38238238238237,86.78678678678679,1.1779957386368334,0.002766583114862442,13248
12,0.0,86.11611611611612,85.78578578578579,86.58658658658659,0.24944816405159248,0.0019206686411052942,14352
13,0.0,85.8858858858859,84.28428428428428,86.58658658658659,0.5905057539040103,0.0015536118298768997,15456
14,0.0,85.81581581581582,84.18418418418419,86.58658658658659,0.6268056938720027,0.0012715318007394671,16560
15,0.0,86.03603603603604,85.58558558558559,86.68668668668668,0.3266700474891013,0.0009961624164134264,17664
16,0.0,86.06606606606607,85.4854854854855,86.58658658658659,0.32219173051913824,0.0007877683383412659,18768
17,0.0,86.02602602602602,85.4854854854855,86.68668668668668,0.3669730286250891,0.000632122450042516,19872
18,0.0,85.995995995996,85.4854854854855,86.68668668668668,0.4441783329796503,0.0005983819719403982,20976
19,0.0,85.5955955955956,83.08308308308308,86.28628628628628,0.9069422616615184,0.0009166335803456604,22080
20,0.0,85.96596596596596,85.4854854854855,86.78678678678679,0.41707040352351504,0.0006502590258605778,23184
21,0.0,85.97597597597597,85.58558558558559,86.48648648648648,0.3480548278421134,0.0004867267853114754,24288
22,0.0,86.06606606606606,85.68568568568568,86.58658658658659,0.2894260719679853,0.0004414176510181278,25392
23,0.0,85.93593593593593,84.58458458458459,86.98698698698699,0.5959950208850509,0.0005306532839313149,26496
24,0.0,85.94594594594595,85.38538538538538,87.08708708708708,0.480480480480479,0.00047558004735037684,27600
